,Daily Confirmed,Total Confirmed,Date,Day
0,4549.0,156369.0,2020-07-16,
1,4646.0,156493.0,2020-07-16,110.0
2,4540.0,161355.0,2020-07-17,111.0
3,4727.0,166368.0,2020-07-18,112.0
4,5012.0,171536.0,2020-07-19,113.0
5,5077.0,176865.0,2020-07-20,114.0
6,5146.0,182360.0,2020-07-21,115.0
7,5143.0,188025.0,2020-07-22,116.0
8,5326.0,193867.0,2020-07-23,117.0
9,5341.0,199890.0,2020-07-24,118.0
10,5308.0,206100.0,2020-07-25,119.0
11,5620.0,212503.0,2020-07-26,120.0
12,5660.0,219104.0,2020-07-27,121.0
13,5725.0,225911.0,2020-07-28,122.0
14,5610.0,232930.0,2020-07-29,123.0
15,5582.0,240166.0,2020-07-30,124.0
16,5658.0,247627.0,2020-07-31,125.0
17,5755.0,255320.0,2020-08-01,126.0
18,5995.0,263252.0,2020-08-02,127.0
19,5761.0,271431.0,2020-08-03,128.0
20,5987.0,279863.0,2020-08-04,129.0
21,6113.0,288558.0,2020-08-05,130.0
22,6130.0,297523.0,2020-08-06,131.0
23,6393.0,306766.0,2020-08-07,132.0
24,6404.0,316296.0,2020-08-08,133.0
25,6505.0,326122.0,2020-08-09,134.0
26,6394.0,336254.0,2020-08-10,135.0
27,6456.0,346700.0,2020-08-11,136.0
28,6620.0,357471.0,2020-08-12,137.0
29,6703.0,368577.0,2020-08-13,138.0
30,6871.0,380028.0,2020-08-14,139.0
31,6734.0,391834.0,2020-08-15,140.0
32,6943.0,404007.0,2020-08-16,141.0
33,7022.0,416558.0,2020-08-17,142.0
34,7018.0,429500.0,2020-08-18,143.0
35,7301.0,442843.0,2020-08-19,144.0
