,Date,Total Confirmed,Day
0,2020-06-22,3305.0,89
1,2020-06-23,3445.0,90
2,2020-06-24,3590.0,91
3,2020-06-25,3742.0,92
4,2020-06-26,3900.0,93
5,2020-06-27,4064.0,94
6,2020-06-28,4236.0,95
7,2020-06-29,4415.0,96
8,2020-06-30,4601.0,97
9,2020-07-01,4795.0,98
10,2020-07-02,4998.0,99
11,2020-07-03,5209.0,100
12,2020-07-04,5428.0,101
13,2020-07-05,5658.0,102
14,2020-07-06,5896.0,103
15,2020-07-07,6145.0,104
16,2020-07-08,6405.0,105
17,2020-07-09,6675.0,106
18,2020-07-10,6957.0,107
19,2020-07-11,7250.0,108
20,2020-07-12,7556.0,109
21,2020-07-13,7875.0,110
22,2020-07-14,8208.0,111
23,2020-07-15,8554.0,112
24,2020-07-16,8915.0,113
25,2020-07-17,9291.0,114
26,2020-07-18,9683.0,115
27,2020-07-19,10092.0,116
28,2020-07-20,10518.0,117
29,2020-07-21,10962.0,118
30,2020-07-22,11425.0,119
