,Date,Daily Confirmed,Total Confirmed,Day
0,2020-06-19,2158.0,54401.0,83
1,2020-06-20,2236.0,56623.0,84
2,2020-06-21,2316.0,58936.0,85
3,2020-06-22,2400.0,61343.0,86
4,2020-06-23,2486.0,63849.0,87
5,2020-06-24,2575.0,66457.0,88
6,2020-06-25,2668.0,69171.0,89
7,2020-06-26,2764.0,71997.0,90
8,2020-06-27,2863.0,74937.0,91
9,2020-06-28,2966.0,77998.0,92
10,2020-06-29,3072.0,81184.0,93
11,2020-06-30,3183.0,84500.0,94
12,2020-07-01,3297.0,87951.0,95
13,2020-07-02,3416.0,91543.0,96
14,2020-07-03,3538.0,95283.0,97
15,2020-07-04,3665.0,99174.0,98
16,2020-07-05,3797.0,103225.0,99
