,Daily Confirmed,Total Confirmed,Date,Day
0,4329.0,102721.0,2020-07-03,
1,4467.0,102803.0,2020-07-04,97.0
2,4648.0,107451.0,2020-07-05,98.0
3,4859.0,112310.0,2020-07-06,99.0
4,5079.0,117389.0,2020-07-07,100.0
5,5308.0,122697.0,2020-07-08,101.0
6,5548.0,128245.0,2020-07-09,102.0
7,5799.0,134044.0,2020-07-10,103.0
8,6062.0,140106.0,2020-07-11,104.0
9,6335.0,146441.0,2020-07-12,105.0
10,6622.0,153063.0,2020-07-13,106.0
11,6922.0,159985.0,2020-07-14,107.0
12,7234.0,167219.0,2020-07-15,108.0
13,7562.0,174781.0,2020-07-16,109.0
14,7903.0,182684.0,2020-07-17,110.0
15,8261.0,190945.0,2020-07-18,111.0
16,8634.0,199579.0,2020-07-19,112.0
17,9025.0,208604.0,2020-07-20,113.0
18,9433.0,218037.0,2020-07-21,114.0
19,9859.0,227896.0,2020-07-22,115.0
20,10306.0,238202.0,2020-07-23,116.0
21,10771.0,248973.0,2020-07-24,117.0
22,11258.0,260231.0,2020-07-25,118.0
23,11768.0,271999.0,2020-07-26,119.0
24,12299.0,284298.0,2020-07-27,120.0
25,12856.0,297154.0,2020-07-28,121.0
26,13437.0,310591.0,2020-07-29,122.0
27,14045.0,324636.0,2020-07-30,123.0
28,14680.0,339316.0,2020-07-31,124.0
29,15343.0,354659.0,2020-08-01,125.0
30,16038.0,370697.0,2020-08-02,126.0
