,Date,Total Confirmed,Total Deceased,Day
0,2020-06-20,395769.0,13164.0,142
1,2020-06-21,410135.0,13900.0,143
2,2020-06-22,425022.0,14677.0,144
3,2020-06-23,440450.0,15497.0,145
4,2020-06-24,456437.0,16363.0,146
5,2020-06-25,473005.0,17277.0,147
6,2020-06-26,490175.0,18243.0,148
7,2020-06-27,507967.0,19262.0,149
8,2020-06-28,526405.0,20339.0,150
9,2020-06-29,545513.0,21476.0,151
10,2020-06-30,565314.0,22676.0,152
11,2020-07-01,585834.0,23943.0,153
12,2020-07-02,607099.0,25281.0,154
13,2020-07-03,629135.0,26694.0,155
14,2020-07-04,651972.0,28186.0,156
15,2020-07-05,675637.0,29761.0,157
16,2020-07-06,700162.0,31424.0,158
17,2020-07-07,725577.0,33180.0,159
18,2020-07-08,751914.0,35035.0,160
19,2020-07-09,779207.0,36993.0,161
20,2020-07-10,807491.0,39060.0,162
21,2020-07-11,836801.0,41243.0,163
22,2020-07-12,867176.0,43548.0,164
23,2020-07-13,898653.0,45982.0,165
24,2020-07-14,931272.0,48552.0,166
25,2020-07-15,965076.0,51265.0,167
26,2020-07-16,1000106.0,54130.0,168
27,2020-07-17,1036408.0,57155.0,169
28,2020-07-18,1074028.0,60349.0,170
29,2020-07-19,1113013.0,63722.0,171
30,2020-07-20,1153414.0,67283.0,172
