,Date,Daily Confirmed,Total Confirmed,Day
0,2020-06-18,2158.0,53161.0,82
1,2020-06-19,2236.0,55662.0,83
2,2020-06-20,2316.0,58280.0,84
3,2020-06-21,2400.0,61021.0,85
4,2020-06-22,2486.0,63892.0,86
5,2020-06-23,2575.0,66897.0,87
6,2020-06-24,2668.0,70043.0,88
7,2020-06-25,2764.0,73338.0,89
8,2020-06-26,2863.0,76787.0,90
9,2020-06-27,2966.0,80399.0,91
10,2020-06-28,3072.0,84181.0,92
11,2020-06-29,3183.0,88140.0,93
12,2020-06-30,3297.0,92286.0,94
13,2020-07-01,3416.0,96627.0,95
14,2020-07-02,3538.0,101172.0,96
